time,Without whole patterns,With whole patterns,With whole patterns under DDoS,With whole patterns under Brute-force,With whole patterns under SSH-MITM
72,1.21E+00,5.52E+00,5.42E+00,3.19E+00,3.07E+00
73,1.29E+00,5.73E+00,2.02E+01,1.50E+01,1.32E+01
74,1.25E+00,5.40E+00,5.42E+00,3.07E+00,4.25E+00
75,1.25E+00,4.96E+00,2.09E+01,3.64E+00,3.27E+00
76,1.21E+00,4.68E+00,5.15E+00,3.68E+00,6.51E+00
77,1.21E+00,5.40E+00,2.78E+01,4.20E+00,3.19E+00
78,1.17E+00,4.96E+00,3.25E+00,2.95E+00,1.49E+01
79,1.13E+00,4.84E+00,3.54E+01,5.05E+00,2.91E+00
80,1.13E+00,4.76E+00,7.59E+00,3.84E+00,3.56E+00
81,1.61E+00,4.64E+00,3.37E+01,1.42E+01,4.08E+00
82,7.26E-01,4.52E+00,3.25E+00,3.52E+00,2.91E+00
83,1.17E+00,4.48E+00,4.53E+01,3.48E+00,1.13E+01
84,1.69E+00,4.68E+00,4.88E+00,2.79E+00,4.61E+00
85,1.37E+00,4.80E+00,4.47E+01,3.07E+00,3.48E+00
86,1.09E+00,5.00E+00,2.98E+00,3.60E+00,5.01E+00
87,1.45E+00,5.04E+00,4.66E+01,5.78E+00,1.44E+01
88,1.13E+00,5.20E+00,7.45E+00,3.68E+00,3.52E+00
89,1.05E+00,5.56E+00,2.87E+01,3.64E+00,3.56E+00
